Order_Date,SITE_NAME,POINT_X,POINT_Y,Damage
1,Abu-Gosh,35.1,31.79,6.5
2,Abu-Dis,35.26,31.76,7.5
3,Jordan River (A),35.53,31.82,8.5
4,Yarmuch Fall,35.66,32.68,7
5,Jaffa,34.75,32.05,5.5
6,Nazareth,35.29,32.7,7
7,Abu-Tlul,34.87,31.19,5
8,Umm al-Fahm,35.14,32.51,5.5
9,Um-Juni,35.56,32.7,7
10,El-Hama,35.65,32.68,7
11,El-Arish,33.76,31.12,4.5
12,Alexandria,29.89,31.2,3
13,A-Salt,35.72,32.03,8.5
14,Irbid,35.84,32.56,7.5
15,A-Ram,35.23,31.85,7
16,Be'er Sheva,34.78,31.24,5
17,Bira,35.22,31.9,7.5
18,Bet-Alfa,35.42,32.51,6
19,Bet-Jala,35.17,31.71,7.5
20,Bet-Govrin,34.9,31.6,6
21,Bet-Gimal,34.96,31.71,6.5
22,Bet-HaKerem,35.19,31.78,7
23,Bet-Lehem,35.19,31.69,7.5
24,Bet-Likia,35.06,31.86,6.5
25,Bet-She'an,35.48,32.5,6
26,Bet-Sorik,35.14,31.81,7
27,Binyamina,34.94,32.51,5.5
28,Batir,35.13,31.72,7
29,Gedera,34.76,31.8,6
30,Gimzoo,34.94,31.92,7.5
31,Jiftlik,35.47,32.14,7
32,Jaljulia,34.94,32.15,6
33,Jenin,35.29,32.45,6
34,Jeser Magmi,35.56,32.62,7
35,Jeresh,35.85,32.28,7
36,Gesher,35.55,32.61,7
37,Allenby Bridge,35.53,31.87,8
38,Bnot-Ya'akov Bridge,35.62,33,6.5
39,Daharia,34.97,31.41,6
40,Deir a-Shech,35.07,31.74,6.5
41,Damascus,36.29,33.51,4.5
42,Dara'a,35.97,32.59,6
43,Olives Mt.,35.25,31.78,7.5
44,Toov Mt.,35,31.76,6.5
45,Carmel Mt.,35.03,32.75,6
46,Scopus Mt. (Hebrew University),35.25,31.79,7.5
47,Herzelia,34.79,32.15,5
48,Wadi al-Shueib,35.61,31.9,8
49,Zarka,36.08,32.06,7
50,Zichron Yaa'kov,34.94,32.56,5.5
51,Zarka Maein,35.72,31.68,7.5
52,Hebron,35.09,31.51,7
53,Haifa,35,32.82,6
54,Tabgha,35.53,32.87,6.5
55,Tiberias,35.54,32.78,6.5
56,Tool Karem,35.01,32.3,6
57,Tafilah,35.6,30.84,5
58,Yalo,35.02,31.83,7
59,Yavne,34.74,31.87,6
60,Jerusalem,35.23,31.77,7
61,Augusta Victoria,35.2574422,31.78138408,7.5
62,Holy Mt./Temple,35.24,31.78,7.5
63,Jericho,35.42,31.84,8
64,Jerusalem-Jericho Road (A),35.4,31.79,8
65,Jerusalem-Jericho Road 2 (A),35.4,31.79,7.5
66,Amman-Jordan Road,35.64,31.81,8
67,Michmach Village,35.27,31.86,7.5
68,Shiloach Village,35.24,31.76,7.5
69,Kafaringi,35.69,32.29,8
70,Karak,35.7,31.17,6.5
71,Lod,34.9,31.95,7
72,Migdal,35.49,32.83,5
73,Migdal Yava,34.94,32.07,5.5
74,Medaba,35.76,31.71,7
75,Motza,35.15,31.78,7.5
76,Maa'n,35.71,30.18,5
77,Maa'yan Elisha,35.43,31.87,7.5
78,Mrar,35.4,32.88,7
79,Masada,35.35,31.31,8
80,Merhavia,35.3,32.59,6.5
81,Deir Mar-Saba,35.33,31.7,7.5
82,Meslovia,35.63,31.76,8
83,Nabi-Musa,35.43,31.78,8
84,Nahalal,35.18,32.68,6
85,Nahariah,35.09,33,6
86,Sorek River,34.87,31.79,6.5
87,Nes-Ziona,34.79,31.92,7
88,Salfit,35.17,32.07,7
89,Sweida,36.57,32.7,7
90,Abadia,35.55,32.68,7
91,Ajloon,35.74,32.32,8
92,Gaza,34.46,31.5,6.5
93,Azraa',36.23,32.84,6
94,Atara,35.19,31.99,7
95,Ein el-Kelt,35.36,31.83,7.5
96,Ein-Dok,35.43,31.87,7.5
97,Ein-Harod,35.39,32.55,6
98,Ein-Karem,35.16,31.77,7
99,Ein-Musa,35.72,31.76,7
100,Ein-Qinya,35.14,31.92,7
101,Ein-Farah,35.34,32.28,7
102,Akko,35.07,32.92,6
103,Anab,34.92,31.39,6
104,Afula,35.28,32.6,6.5
105,Aqaba,35,29.52,4
106,Ekron,34.82,31.85,6.5
107,Pki'in,35.32,32.97,4.5
108,Petah Tikva,34.9,32.09,5.5
109,Tzemach,35.58,32.7,7
110,Safed,35.48,32.96,6.5
111,Tzora,34.97,31.77,6.5
112,Kabab,34.74,31.88,7
113,Cairo,31.2,30.04,4
114,Qunetra,35.82,33.12,4
115,Kalkilia,34.95,32.18,5.5
116,Kiriat Anavim,35.11,31.8,7
117,Rammala,35.19,31.89,7.5
118,Rosh Ha-A'ayin,34.92,32.09,6
119,Amman,35.91,31.96,8.5
120,Rehovot,34.8,31.89,6.5
121,Reina,35.29,32.71,7.5
122,Ramla,34.87,31.92,7
123,Ramat Yishai,35.16,32.7,5
124,Ramat Rachel,35.21,31.73,7.5
125,Refidie,35.23,32.22,8
126,Shunam,35.32,32.6,6.5
127,Nablus,35.25,32.21,8
128,Tel Aviv,34.76,32.06,5.5
129,Tel Yosef,35.39,32.52,6
130,Dead Sea north 1 (A),35.52,31.76,8.5
131,Dead Sea north 2 (A),35.46,31.72,8.5
132,Dead Sea north 3 (A),35.49,31.74,8.5
133,Borochov Neibourhood [Tel Aviv],34.8,32.07,5.5
